순번,주제,용어,설명
85,금융,ELS(주가연계증권),"ELS(Equity Linked Securities)는 개별 주식의 가격이나 주가지수와 연계되어 수익률이 결정되는 파생상품이다. ELS는 금융기관과 금융기관, 금융기관과 일반기업 간의 맞춤 거래를 기본으로 하는 ‘장외파생상품’으로, 거래의 결제 이행을 보증해주는 거래소가 없기 때문에 일정한 자격을 갖춘 투자매매업자만이 ELS의 발행이 가능하다. 즉, 영업용순자본비율(Net Capital Ratio)이 300% 이상이며, 장외파생상품 전문 인력을 확보하고, 금융위원회가 정하는 ‘위험 관리 및 내부 통제 등에 관한 기준’을 충족하는 투자매매업자가 ELS를 발행할 수 있다. 수익률을 받게 되는 조건과 구조가 다양하기 때문에 투자자의 시장에 대한 관점과 위험 선호도에 따라 폭넓은 선택이 가능하다. ELS가 특히 적합한 고객은 예금 대비 높은 수익률을 추구하면서도 주식이나 선물 옵션에 비해서는 안정성을 확보하기 원하는 경우다. 또한 주식시장의 대세상승 또는 대세하락 시기보다는 일정한 박스권 안에서 횡보하는 장세에서는 주식형 펀드에 비해 높은 수익률을 기대할 수 있다. 또한 원금 손실 위험을 회피하고자 하는 투자자는 원금보장형 ELS에 가입하면 더 높은 안정성을 보장받게 된다. 만기 전에 환매를 할 경우, 기준가의 90% 이상 지급되기 때문에 주가 하락 시에는 원금보장형이라 하더라도 그만큼 손실이 발생할 수 있다는 점을 유념해야 한다."
86,금융,ELW(주식워런트증권),"ELW(Equity Linked Warrant)는 주식 등의 자산을 미리 정한 만기에 정해진 가격에 사거나 팔 수 있는 권리를 나타내는 증권이다. 거래소가 요구하는 일정 조건을 갖춘 경우 유가증권시장에 상장될 수 있고, 이 경우 일반투자자도 매매할 수 있다. ELW는 적은 금액을 투자해 큰 수익을 올릴 수 있다는 점이 가장 큰 매력이다. 주식투자의 경우 주가가 하락하는 만큼이 투자자의 손실로 이어지지만, ELW의 손실은 최초투자금액으로 제한된다. 다만 주식은 만기가 없어 주가 하락으로 인한 손실을 미래에 만회할 수 있지만, ELW는 만기가 정해져 있는 만큼 손실을 만회할 기회를 갖지 못한다. ELW 보유자는 권리 행사일에 기초자산의 만기평가가격과 행사가격을 비교하여 내재 가치가 있는 경우 이익을 취할 수 있다. 반면 만기에 기초자산 가격이 불리하게 움직일 경우 행사 권리를 포기하고 ELW 매수 금액만큼만 손해를 보게 된다. 발행자와 ELW 보유자 간 최종 결제방식에는 현금결제와 실물인수도 결제의 방법이 있다. 현금결제는 만기일에 권리행사차금을 현금 지급하는 방식을 말하며, 실물인수도 결제는 만기일에 실제로 실물을 행사가격에 사거나 팔 수 있도록 하는 결제방식을 말한다. 현재 상장된 ELW는 주식 5% 소유지분 제한 등의 규제로 인하여 발행사가 현금 결제하는 방식을 채택하고 있다."
90,금융,ETF(상장지수펀드),"ETF(Exchange Traded Fund)는 말 그대로 인덱스펀드를 거래소에 상장시켜 투자자들이 주식처럼 편리하게 거래할 수 있도록 만든 상품이다. 투자자들이 개별 주식을 고르는데 수고를 하지 않아도 되는 펀드투자의 장점과, 언제든지 시장에서 원하는 가격에 매매할 수 있는 주식투자의 장점을 모두 가지고 있는 상품으로 인데스펀드와 주식을 합쳐놓은 것이라고 생각하면 된다. 최근에는 시장지수를 추종하는 ETF외에도 배당주나 거치주 등 다양한 스타일을 추종하는 ETF들이 상장되어 인기를 얻고있다. ※인덱스펀드: 일반 주식형 펀드와 달리 KOSPI 200과 같은 시장 지수의 수익률을 그대로 쫓아가도록 구성한 펀드."
92,금융,ETN(exchage trade note),"상장지수펀드(ETF)와 마찬가지로 거래소에 상장돼 손쉽게 사고 팔 수 있는 채권으로, 상장지수채권이라고도 한다. 특정지수의 수익을 오차 없이 보장하는 채권으로 금융회사가 자기신용으로 발행하고, 투자자는 시장에서 ETN을 자유롭게 사고 팔거나 만기까지 보유해도 무관하다. ETN 투자의 가장 큰 위험요인은 발행자의 신용위험도로서, 운용성과와 상관없이 발행주체가 파산하면 투자금을 모두 잃을 수 있기 때문에 유의해야 한다.
"
129,금융,HTS(Home Trading System),"	HTS(Home Trading System, 홈트레이딩시스템)은 투자자가 주식을 사고팔기 위해 증권사 객장에 나가거나 전화를 거는 대신 집이나 사무실에 설치된 PC를 통해 거래할 수 있는 시스템을 말한다. HTS는 1980년대 말~1990년대 초 단순히 주식시세를 조회할 수 있도록 제공되던 가정용 투자정보시스템에서 출발했다. 매매수수료가 저렴하고 어디서나 인터넷만 연결되면 거래가 가능하다는 편리함이 있다.	"
138,금융,IRA(Individual Retirement Account),"개인형퇴직연금제도(Individual Retirement Pension)로 취업자가 재직 중에 자율로 가입하거나 이직시 받은 퇴직급여 일시금을 계속해서 적립·운용할 수 있는 퇴직연금 제도이다. 연간 1,800만원까지 납입할 수 있으며, 최대 700만원까지 세액공제 대상이 된다. 운용기간에는 운용수익에 대한 과세이연 혜택이 부과되며, 퇴직급여 수급시 연금 또는 일시금으로 수령할 수 있다."
139,금융,"IRR(Internal Rate of Return, 내부수익률)","어떤 투자계획에서 발생하는 비용과 편익의 흐름이 있을 때, 해당 투자계획의 현재가치를 ‘0’으로 만들어주는 할인율을 ‘IRR’이라고 한다. 이자율이 r로 일정할 때 n기 동안 매 기마다 C의 비용과 B의 편익이 발생할 것으로 예상되는 투자계획의 현재가치를 구하는 식에 이자율 r을 미지의 값인 ρ로 대체하고 현재가치의 값을 0으로 만들어주는 ρ를 구하는 것이다. 이는 ρ에 대한 n차방정식을 푸는 것이고, 이때 ρ가 IRR이 된다. 어떤 투자계획의 IRR이 자금의 기회비용인 이자율(r)보다 크다면 해당 투자계획은 채택된다. 여러 투자계획을 동시에 고려하는 경우에 IRR이 이자율보다 큰 사업이 여러 개 있다면 IRR이 가장 큰 사업을 채택하면 된다. 그러나 투자계획의 크기가 서로 다른 경우 IRR을 사용하면 문제가 발생할 수 있다고 알려져 있다. 또한 IRR을 구하는 식은 n차 방정식이기 때문에 하나의 투자 계획에 대한 내부수익률은 n개가 나올 수 있다. 따라서 어떤 것을 IRR로 선택할 것인지 결정하기 어려울 수 있다는 단점이 있다."
166,금융,MMDA,"Money Market Deposit Account의 약자로 수시 입출금식 예금을 말한다. 보통예금처럼 수시로 입출금할 수 있는 동시에 하루만 맡겨도 금리를 받을 수 있다는 장점이 있어 단기 몫돈을 운용하는데 적합하다. 하지만 일정 규모 이상의 금액에 대해 차등적으로 이자를 지급하고 있어 500만원 미만의 소액이거나 법인의 경우, 예치기간이 7일 미만일 때는 이자율이 낮거나 없을 수도 있다. "
167,금융,MMF(Money Market Funds),"단기금융상품에 집중투자해 단기 금리의 등락이 펀드 수익률에 신속히 반영될 수 있도록 한 초단기 공사채형 금융상품이다. 즉, 고객의 돈을 모아 금리가 높은 CP(기업어음), CD(양도성예금증서), 콜 등 단기금융상품에 집중 투자하여 여기서 얻는 수익을 되돌려주는 실적배당상품이다. 고수익상품에 자금을 운용하기 때문에 다른 상품보다 돌아오는 수익이 높다. 미국 최대 증권사인 메릴린치가 지난 1971년 개발해 금리자유화가 본격화됐던 지난 1980년대 선풍적인 인기를 끌었던 금융상품으로, 우리나라에서는 1996년 10월부터 투신사에서 발매하기 시작했다. CD나 CP는 투자금액에 제한이 있지만 MMF는 가입금액에 아무런 제한이 없어 소액투자자도 손쉽게 투자할 수 있다. 또한 하루 뒤에 되찾아도 환매수수료가 붙지 않아 만기가 따로 정해져 있지 않다. 고객은 MMF에 가입한 날의 펀드 기준가와 출금한 날의 펀드 기준가 차액에 따라 이익을 보게 된다. MMF의 최대 장점은 가입 및 환매가 청구 당일에 즉시 이뤄지므로 자금 마련에 불편함이 없고 펀드내에 있는 채권에 대해 시가평가를 적용하지 않으므로 시장금리의 변동과 무관하게 안정적인 수익률을 기대할 수 있다."
168,금융,MMW(Money Market Wrap),"‘Money Market Wrap’의 약자로, 증권사 CMA(Cash Management Account ; 종합자산관리계좌)의 운용방식 중 하나다. 신탁은 아니지만 고객이 자산을 증권사에 맡기면 증권사는 신용등급 AAA 이상인 한국증권금융 등 우량한 금융기관의 예금, 채권, 발행어음, 콜론(call loan) 등 단기금융상품에 투자하고, 그에 따른 실적을 지급하는 상품이다. 날마다 일일 정산을 통해 익일 원리금(원금+이자)을 재투자해 복리효과를 볼 수 있어, ‘일복리’라고도 한다. 비교적 안정적이며, 수익률은 RP형, 종금형, MMF형 등 CMA의 다른 상품들보다 낮지만 일복리로 계산되므로 예치기간이 길수록 유리하다. 또한 MMW의 수익률은 한국은행의 기준금리나 시장금리에 연동되기 때문에 금리 인상 시기에 유리하다."
177,금융,Net Present Value(순현재가치),"줄여서 NPV라고도 쓰이며 투자효율성의 지표로 쓰인다. 순현재가치는 미래에 발생하는 특정시점의 현금흐름을 이자율로 할인하여 현재시점 금액으로 환산하는 것을 말한다. NPV가 0보다 크면 투자가치가 있는 것으로, 0보다 작으면 투자가치가 없는 것으로 평가한다."
189,금융,P2P 금융(Peer to Peer Finance),"공식 금융 기관, 중개자의 개입 없이 개인 간에 자금을 융통할 수 있는 방법을 가리킨다. P2P 금융을 통해 자금을 대출하는 사람들은 투자자와 서로 동의한 수준의 이자율에서 자금을 융통할 수 있게된다. 대출을 받는 사람의 정보는 주로 P2P 금융 온라인 플랫폼을 통해 투자자에게 공개가 되고, 이를 바탕으로 투자자는 이들에게 대출을 할 리스크를 부담할지 않을지 결정한다. 원하는 만큼의 대출을 한 투자자에게 전부 받는 사람도 있으나, 만일 원하는 금액 중 일부만을 특정 투자자로 부터 조달받은 경우, 나머지 금액의 경우 해당 P2P 금융을 이용하는 다른 투자자로부터 조달 받을 수 있게 된다. 이렇게 P2P 금융 환경에서는 한 종류의 대출에 대해 여러명의 투자자가 함께할 수 있고, 이와 같은 특성으로 크라우드 펀딩, 크라우드 렌딩과 같은 이름으로 불리기도 한다. "
192,경영,PBR/PER,"PBR 혹은 P/B라고도 쓰면 Price-To-Book Ratio의 약자이다. 우리말로는 주가장부가치비율이라고 부르며 주가와 장부가치를 비교하기 위해 사용하는 비율이다. PBR은 주당 시장가격을 주당 장부가치로 나눈 것이다(PBR=Market Price per Share/Book Value per Share). 여기서 주당 장부가치는 기업이 자사의 모든 자산을 장부(회계적)가치로 청산한 한 후 우선주를 포함한 모든 부채를 제외하고 남은 금액을 총 발행된 보통주식의 수로 나눈 금액을 의미한다. BPS=(Total Assets-Total Liabilities)/Number of shares outstanding. 한 주당 시세를 한 주당 장부가치(BPS)로 나눈 값이 PBR이다. PBR은 해당 종목의 단위 주가가 1주당 장부가치 대비 몇 배로 거래되고 있는 가를 보여준다. PBR이 1인 종목은 해당종목의 단위 주가가 1주당 장부가치와 같다는 뜻이다. PBR이 1보다 큰 종목은 주가가 장부가치보다 높아서 고평가되었다고 해석한다. 1 미만인 종목은 주가가 장부가치보다 낮기 때문에 저평가되었다고 볼 수 있다. PER(Price on Earning Ration)은 현재 주가를 주당순이익(순이익/ 총 발행주식 수)으로 나눈 값으로, 주가수익률, 주가순익률, 주가이익률, 주가수익비율, 주가이익비율, 주가순익비율, 주가수익배율, 주가이익배율, 주가순익배율이라 한다. PER은 주가가 주당순이익의 몇 배가 되는지를 나타내주기 때문에 PER가 높다면 수익에 비해 주가가 고평가된 것으로 볼 수 있다. PBR이 기업의 재무상태 면에서 주가를 판단하는 지표인데 반해 PER은 기업의 수익성과 주가를 연계하여 평가하는 지표다. 또한 PBR은 특정 기업을 저량(stock)측면에서 바라보는 반면에 PER는 유량(flow)측면에서 바라 본다고 할 수 있다. 서로 보완관계에 있는 이들 두 지표는 증권분석기법 중 ‘기본적 분석(fundamental analysis)’에서 쓰는 대표적 지표로, 함께 사용되는 경우가 많다."
208,금융,RAPM(위험조정성과평가),"RAPM(Risk Adjusted Performance Management)은 주로 금융기관에서 사용하는 위험을 고려한 성과관리를 말한다. 금융기관은 리스크를 일정한 한도내에서 관리해야 한다. 이 때 수익만으로 성과를 측정하면 지나치게 위험을 추구하는 투자성향을 보일 가능성이 커진다. 일반적으로 리스크가 큰 사업이나 투자상품일수록 기대수익률이 높은데, 수익으로만 성과를 관리하면 리스크를 적절히 관리하기 어렵게 된다. 예를 들어 투자시 리스크가 크면 회사의 주어진 리스크한도를 많이 사용하는 것이기 때문에 그에 상응하는 만큼 수익도 커야한다는 것이다. 위험을 고려한 성과관리의 의미는 위험을 고려한 성과 지표를 바탕으로 목표를 설정하고, 성과를 측정/ 모니터링 하여 평가 및 보상과 연계하는 것이다. "
211,경영,ROE/ROI,"기업의 총자본은 주식에 의해 조달된 자금인 자기자본과 차입을 통해 조달된 타인자본으로 구성된다. 자기자본이익률(Return on equity: ROE)은 경영자가 주주의 자본을 활용하여 얼마만큼의 이익을 올리고 있는가를 나타내는 지표로, 기업의 손익계산서상의 순이익을 자기자본으로 나눈 비율을 뜻한다.ROE가 높다는 것은 그만큼 기업이 자본을 효율적으로 운용해 이익을 많이 낸다는 뜻이며, 주가도 높게 형성되는 경향이 있다. 

* 자기자본이익률(ROE) = 순이익/자기자본 × 100

투자수익률(Return on Investment: ROI)은 경영성과를 종합적으로 측정하는 데 이용되는 가장 대표적인 재무비율이다. 순이익을 총투자액으로 나누어 산출하는데, 총투자는 재무상태표상의 총자본과 금액이 같고 이것은 다시 총자산과 같기 때문에 총자본이익률 혹은 총자산이익률(Return on Asset: ROA)도 투자수익률과 같은 의미로 쓰인다. ROI 분석은 미국의 화학회사 듀퐁(Du Pont)사가 사업부의 업적을 평가·관리하기 위한 방법으로 개발됐다. 경영성과의 종합척도가 곧 투자수익률이라 보고 이를 결정하는 재무요인을 체계적으로 관찰하여 통제하는 기법이다.

* 투자수익률(ROI) = 순이익/총투자액(총자본) × 100

ROE와 ROI는 투자자들이 투자를 결정할 때 고려하는 중요한 참고지표다. ROI는 경영성과를 종합적으로 판단하지만, 타인자본의 사용으로 ROI가 증가하는 경우도 있어 기업의 효율성을 제대로 측정하지 못할 수도 있다. 이러한 단점을 ROE를 이용함으로써 보완할 수 있다."
217,금융,S&P,"Standard & Poor's(스탠더드 앤 푸어스)의 약자로 미국의 신용평가회사를 가리킨다. 세계적인 신용, 금융분석 및 신용등급기관으로, 무디스·피치와 함께 세계 3대 신용평가기관으로 꼽힌다. S&P가 보통주 500종목을 대상으로 발표하는 지수를 S&P 500지수라 하고, 이는 미국에서 주가동향을 나타내는데 가장 많이 사용되는 대표지수다."
233,경영,SWOT분석,"기업의 내부환경과 외부환경을 분석하여 강점(strength), 약점(weakness), 기회(opportunity), 위협(threat) 요인을 규정하고 이를 토대로 경영전략을 수립하는 기법으로, 미국의 경영컨설턴트인 알버트 험프리(Albert Humphrey)에 의해 고안되었다. SWOT 분석의 가장 큰 장점은 기업의 내ㆍ외부환경 변화를 동시에 파악할 수 있다는 것이다. 기업의 내부환경을 분석하여 강점과 약점을 찾아내며, 외부환경 분석을 통해서는 기회와 위협을 찾아낸다. 

- 강점(strength): 내부환경(자사 경영자원)의 강점
- 약점(weakness): 내부환경(자사 경영자원)의 약점
- 기회(opportunity): 외부환경(경쟁, 고객, 거시적 환경)에서 비롯된 기회
- 위협(threat): 외부환경(경쟁, 고객, 거시적 환경)에서 비롯된 위협

SWOT 분석은 외부로부터의 기회는 최대한 살리고 위협은 회피하는 방향으로 자신의 강점은 최대한 활용하고 약점은 보완한다는 논리에 기초를 두고 있다. SWOT 분석에 의한 경영전략은 다음과 같이 정리할 수 있다.

- SO전략(강점-기회전략): 강점을 살려 기회를 포착
- ST전략(강점-위협전략): 강점을 살려 위협을 회피
- WO전략(약점-기회전략): 약점을 보완하여 기회를 포착
- WT전략(약점-위협전략): 약점을 보완하여 위협을 회피

SWOT 분석은 방법론적으로 간결하고 응용범위가 넓은 일반화된 분석기법이기 때문에 여러 분야에서 널리 사용되고 있다."
276,금융,underwriting,언더라이팅은 투자 은행이 기업이나 정부를 대신해서 자본을 모으는 과정을 가리킨다. ‘언더라이터(underwritier)’라는 명칭은 특정 수준의 프리미엄 금액에 대해서 어느 정도 규모까지 리스크를 감수할 지에 대한 금액을 제시하고 그 아래에 서명을 하던 관습에서 유래되었다. 언더라이터는 리스크에 대한 조사 및 측정을 통해서 리스크에 대한 적절한 가격 설정을 진행한다. 언더라이팅은 보험을 통해서 접하는 경우가 많다. 보험이 적절히 작동하기 위해서는 리스크가 많은 사람들에게 분산이 되어야 한다. 다수의 보험 가입자가 한번에 보험금 청구를 하는 경우와 같은 리스크를 대비하기 위해 보험사는 외부 투자자와 리스크를 분담하며 언더라이팅을 통해 리스크 관리를 진행한다. 
315,금융,감가상각,"자산의 공정가치로 평가하여 가치감소분을 비용으로 보는 것(가치평가과정)을 경제적 감가상각이라 하고, 자산의 사용에 따라 수익이 창출되는 기간에 그에 대응하는 비용을 인식하는 것(원가배분과정)을 회계적 감가상각이라 한다. 자산의 감가상각방법은 해당 자산의 미래경제적효익의 예상 소비형태를 가장 잘 반영하는 방법에 따라 선택한다. 감가상각방법의 종류에는 자산의 내용연수동안 매기 일정액의 감가상각비를 계상하는 정액법과 일정 비율로 상각하는 정률법, 활동기준법, 연수합계법, 이중체감법 등이 있다. "
316,금융,감가상각비,"시간이 경과함에 따라 노후되는 설비의 원가에 대해 사용기간 등에 의한 물리적, 경제적 가치하락의 감소분을 감가상각이라 하고 감가상각된 금액이나 비율로 나온 금액을 감가상각비라 한다. 다시 말해 고정자산 취득에 투입된 자본을 그 내용기간 동안 매년 나눠 비용으로 회수하는 것을 말한다. 정확하고 합리적인 기간손익계산을 위해 활용한다."
336,금융,개인퇴직계좌(IRA),"근로자가 직장을 그만두거나 직장을 옮길 때 받은 퇴직금이나 퇴직연금 일시금 등을 자신 명의의 계좌에 적립했다가 마지막 직장에서 퇴직 후 수급자격이 되면 연금이나 일시금으로 받을 수 있게 해주는 제도. 근로자는 이 돈을 세제혜택을 받으면서 노후자금으로 활용할 수 있다. 최근 직장이동이 많아지고 비정규직 증가, 퇴직금 중간정산, 연봉제의 확산 등으로 퇴직금이 생활자금으로 소진되는 사례가 늘자 이를 보완하기 위해 도입됐다.  ▶개인형 퇴직연금(IRP) : 2012년 7월 26일 '근로자퇴직급여보장법'이 개정되면서 개인퇴직계좌를 대체하여 새롭게 도입되었다. 개인퇴직계좌와 달리 퇴직하지 않아도 누구나 개설 할 수 있고 한도내에서 세액공제를 받을 수 있다. 2017년부터는 자영업자, 퇴직연금에 가입하지 않은 임원도 가입할 수 있다."
340,금융,갭투자,"매매가격과 전세가격의 차이가 작은 주택을 전세를 끼고 매입한 뒤 시세차익을 노리는 투자를 말한다. 갭투자에서 갭(gap)이 의미하는 것은 주택 매매가와 전세보증금의 차이이다. 매매가격에서 보증금을 뺀만큼의 금액, 즉 갭만큼의 금액만 있으면 주택을 사는 것이 가능하다. 예를 들어 아파트 가격이 3억인데 전세보증금이 2억5000만원 이라면 5000만원을 들여 집을 사는 것이다. 아파트가격과 전세보증금이 상승하면 투자금액 대비 수익이 크지만 아파트가격이 하락하면 크게 손실을 볼 수도 있기에 위험도 매우 큰 투자방법이다. "
341,금융,거래 상대방 위험(counterparty risk),"금융거래에서 거래상대방이 결제를 불이행할 위험, 즉 디폴트 리스크(default risk)를 의미한다. 채권의 경우, Moody's 나 S&P와 같은 기관에서 거래 상대방 위험의 정도에 따라 등급을 AAA부터 정크 본드로 나눠 명시하고 있다. 파생상품의 경우, 결제불이행이 발생할 시 손실액이 무한히 커질수 있어서 금융결제시스템의 안정성을 해치는 일이 발생할 수 있다. 실제 2008년 글로벌 금융위기시 금융기관들의 결제불이행이 연쇄적으로 발생하여 위기를 더욱 증폭시켰다.  "
364,금융,결제통화 ,"결제통화(Currency of Settlement)란 국가 간 무역거래 시 결제에 사용되는 통화를 말한다. 세계 각국은 각각 자기 나라의 무역결제에 사용하는 통화를 지정하고 있는데, 현재는 기축통화인 미국 달러화가 가장 많이 사용되고 있다. 특정통화가 결제통화로 사용되려면 환율의 변동성이 크지 않고, 유동성이 부족하지 않아야 하는 등 일정 조건을 충족해야 한다. 2008년 미국발 금융위기를 계기로 기축통화인 달러화의 위상이 흔들리자 중국은 주변국들과 위안화 무역결제협정을 체결하고 무역거래 시 위안화 결제범위를 넓혀가고 있다. 위안화는 2017년 6월 기준 세계 지급결제통화 중 6위로 전 세계 1900개 이상의 금융회사들이 지급결제 목적으로 위안화를 사용한다. 우리나라는 결제통화로 달러화를 가장 많이 쓰고 있다. "
